"year","block","treatment","depth","crop","pH","OM","P","Ca","AP","DC","NV","PROD"
"2020/2021",4,"60","0-5cm","soybean",5.8,2.25,14,6.9,57,1.5,28,4358
"2020/2021",1,"60","5-10cm","soybean",6.1,2.25,15,5.9,71,1.3,29,4663
"2020/2021",2,"60","10-20cm","soybean",6.5,2.45,18,4.1,82,1.5,31,4513
"2020/2021",3,"60","0-5cm","soybean",5.3,2.85,16,3.8,94,1.6,23,4260
"2020/2021",4,"60","5-10cm","soybean",6.4,2.05,19,4.6,74,1.4,21,4496
"2020/2021",1,"60","10-20cm","soybean",6.9,2.05,15,6.3,83,1.3,39,3660
"2020/2021",2,"60","0-5cm","soybean",7.3,2.45,18,5.3,70,1.4,27,3580
"2020/2021",3,"60","5-10cm","soybean",7,2.75,18,4.3,70,1.4,28,3542
"2020/2021",4,"60","10-20cm","soybean",6.7,2.35,17,5.9,72,1.2,25,4172
"2020/2021",1,"60","0-5cm","soybean",5.4,2.95,16,4.9,94,1.3,31,4481
"2020/2021",2,"60","5-10cm","soybean",6,2.75,14,3.9,89,1.5,33,4603
"2020/2021",3,"60","10-20cm","soybean",6.1,2.55,15,5.5,86,1.5,29,4892
"2020/2021",4,"60","0-5cm","soybean",6.7,2.85,16,6.5,91,1.6,30,4315
"2020/2021",1,"60","5-10cm","soybean",6.2,2.75,15,5.4,76,1.8,35,4086
"2020/2021",2,"60","10-20cm","soybean",5.7,2.55,18,5.2,88,1.6,30,3819
"2020/2021",3,"60","0-5cm","soybean",7.1,2.75,15,4.3,82,1.8,27,4277
"2020/2021",4,"60","5-10cm","soybean",6.8,2.85,15,5.6,70,1.4,30,4118
"2020/2021",1,"80","10-20cm","millet",6.5,2.8,14,3.9,72,1.8,26,4037
"2020/2021",2,"80","0-5cm","millet",7,2.5,15,3.3,81,1.6,31,3861
"2020/2021",3,"80","5-10cm","millet",5.7,3,15,5,82,1.3,26,3697
"2020/2021",4,"80","10-20cm","millet",6.7,3,8,5,77,1.6,37,3709
"2020/2021",1,"80","0-5cm","millet",6.1,2.8,11,7.4,70,1.3,18,4934
"2020/2021",2,"80","5-10cm","millet",6.7,2.7,15,3.8,59,1.7,32,4325
"2020/2021",3,"80","10-20cm","millet",6.4,2.7,14,5.2,84,1.4,28,3985
"2020/2021",4,"80","0-5cm","millet",6.7,3.3,11,5.8,77,1.5,40,3410
"2020/2021",1,"80","5-10cm","millet",7.1,2.8,9,6.1,85,1.4,29,4296
"2020/2021",2,"80","10-20cm","millet",6.4,2.7,14,5,65,1.3,32,3951
"2020/2021",3,"80","0-5cm","millet",6.9,1.9,17,4.3,67,1.8,32,4157
"2020/2021",4,"80","5-10cm","millet",5.8,2.2,20,4.9,79,1.7,31,4096
"2020/2021",1,"80","10-20cm","millet",6,2.7,15,6.9,66,1.6,33,4588
"2020/2021",2,"80","0-5cm","millet",7.2,2.8,19,5.5,60,1.5,40,4166
"2020/2021",3,"80","5-10cm","millet",6.6,2.8,15,3,88,1.6,35,4111
"2020/2021",4,"80","10-20cm","millet",5.4,2.9,15,6.4,89,1.6,31,5386
"2020/2021",1,"80","0-5cm","millet",5.7,2.6,16,5.5,70,1.8,39,4744
"2020/2021",2,"80","5-10cm","millet",6.3,3.1,12,5,77,1.7,33,4265
"2020/2021",3,"80","10-20cm","millet",6.8,2.4,15,5,69,1.5,33,3834
"2020/2021",4,"80","0-5cm","millet",6.3,2.3,18,4.9,83,1.5,36,4790
"2020/2021",1,"80","5-10cm","millet",6.7,2.3,13,5.3,80,1.4,31,3734
"2020/2021",2,"80","10-20cm","millet",6.9,2.9,14,4.5,71,1.4,34,4176
"2020/2021",3,"80","0-5cm","millet",7.2,2.7,12,5.3,72,1.5,29,4626
"2020/2021",4,"80","5-10cm","millet",6.4,2.9,16,4.1,69,1.7,31,3994
"2020/2021",1,"80","10-20cm","millet",6.4,2.6,16,5.2,84,1,30,4016
"2020/2021",2,"80","0-5cm","millet",5.5,2.5,17,6.1,86,1.4,27,4420
"2020/2021",3,"80","5-10cm","millet",6.4,2.6,11,5.5,84,1.5,40,4270
"2020/2021",4,"80","10-20cm","millet",6.1,2.1,15,6,72,1.2,27,4075
"2020/2021",1,"80","0-5cm","millet",5.9,2.3,12,3.9,62,1.8,28,4095
"2020/2021",2,"80","5-10cm","millet",6.3,2.3,15,5.1,85,1.5,37,4325
"2020/2021",3,"80","10-20cm","millet",6.9,3,19,5.6,78,1.3,30,4433
"2020/2021",4,"80","0-5cm","millet",5.4,2.5,13,3.9,80,1.3,36,4847
"2020/2021",1,"80","5-10cm","millet",6.2,2.9,17,6.6,90,1.7,27,3990
"2020/2021",2,"80","10-20cm","millet",6.5,3.2,13,4,71,1.9,30,4858
"2020/2021",3,"80","0-5cm","millet",6,2.6,14,5.2,91,1.5,29,3467
"2020/2021",4,"80","5-10cm","millet",6.6,2.8,16,5.2,76,1.5,25,3877
"2020/2021",1,"80","10-20cm","millet",6.6,2.2,13,5.1,73,1.3,28,3524
"2020/2021",2,"80","0-5cm","millet",6.4,2.5,10,4.8,78,1.8,27,4355
"2020/2021",3,"80","5-10cm","millet",5.2,2.7,19,5.4,84,1.6,34,4410
"2020/2021",4,"80","10-20cm","millet",7.7,2.8,16,4,78,1,29,3517
"2020/2021",1,"80","0-5cm","millet",6.3,2.5,13,3.7,71,1.4,30,4224
"2020/2021",2,"80","5-10cm","millet",6.7,3.5,9,4.3,77,1.5,26,3743
"2020/2021",3,"80","10-20cm","millet",6.5,2.6,21,4.9,55,1.3,31,4447
"2020/2021",4,"80","0-5cm","millet",6.9,2.7,25,6.3,75,1.4,22,3423
"2020/2021",1,"80","5-10cm","millet",6.8,2.9,16,6.6,85,1.3,15,4632
"2020/2021",2,"80","10-20cm","millet",6.3,2.7,18,5.3,78,1.6,39,4178
"2020/2021",3,"80","0-5cm","millet",6.6,2.5,19,5.4,87,1.6,34,3682
"2020/2021",4,"80","5-10cm","millet",5.9,3,13,4.8,85,1.7,33,4159
"2020/2021",1,"80","10-20cm","millet",6.8,3.2,14,5,86,1.6,19,4067
"2020/2021",2,"80","0-5cm","millet",6.2,2.7,10,3.6,87,1.8,33,4018
"2020/2021",3,"80","5-10cm","millet",7.6,2.9,13,5.3,63,1.4,33,3451
"2020/2021",4,"80","10-20cm","millet",5.6,2.7,17,4.5,80,1.1,30,3907
"2020/2021",1,"80","0-5cm","millet",6.2,3,14,5.3,96,1.5,34,4113
"2020/2021",2,"80","5-10cm","millet",6.8,2.4,14,4.7,75,1.6,36,3458
"2020/2021",3,"80","10-20cm","millet",6.7,3.4,15,4.3,85,1.4,29,4351
"2020/2021",4,"80","0-5cm","millet",6.1,2.5,9,4.8,81,1.8,40,4887
"2020/2021",1,"80","5-10cm","millet",5.9,2.3,18,4.6,86,1.7,35,4591
"2020/2021",2,"80","10-20cm","millet",6.5,2.6,11,6.1,77,1.6,36,3801
"2020/2021",3,"80","0-5cm","millet",6.4,2.7,14,5.2,74,1.5,28,3872
"2020/2021",4,"80","5-10cm","millet",5.5,3.2,14,5.4,81,1.4,29,3967
"2020/2021",1,"80","10-20cm","millet",6.4,3,14,3.8,82,1.5,25,4503
"2020/2021",2,"80","0-5cm","millet",6.5,2.7,19,6.5,78,1.6,32,4180
"2020/2021",3,"80","5-10cm","millet",6.5,2.3,13,5.2,80,1.7,31,3727
"2020/2021",4,"80","10-20cm","millet",5.9,2.4,13,4.1,84,1.4,30,3444
"2020/2021",1,"80","0-5cm","millet",6.6,2.7,10,5.3,72,1.4,27,4480
"2020/2021",2,"80","5-10cm","millet",7.1,3.5,13,5.9,91,2,29,3678
"2020/2021",3,"80","10-20cm","millet",6.6,2.1,12,3.6,102,1.6,40,4449
"2020/2021",4,"80","0-5cm","millet",5.8,3,16,6.7,95,1.3,25,4237
"2020/2021",1,"80","5-10cm","millet",6.2,2.5,12,4.8,75,1.7,28,4561
"2020/2021",2,"80","10-20cm","millet",6.6,3.2,16,6.1,62,1.5,23,4747
"2020/2021",3,"80","0-5cm","millet",6.1,2.4,15,5.1,81,1.7,24,3488
"2020/2021",4,"80","5-10cm","millet",5.3,2.7,11,4.7,89,1.5,29,4711
"2020/2021",1,"80","10-20cm","millet",6.8,2.4,13,3.2,88,1.5,28,4544
"2020/2021",2,"80","0-5cm","millet",6,3,18,3.9,68,1.5,27,4046
"2020/2021",3,"80","5-10cm","millet",6.1,3.1,18,5,69,1.6,26,4190
"2020/2021",4,"80","10-20cm","millet",7.2,3.3,21,5.8,81,1.4,29,4444
"2020/2021",1,"80","0-5cm","millet",6,2.9,15,3.1,86,1.4,36,4530
"2020/2021",2,"80","5-10cm","millet",6.8,3.3,11,6.4,89,1.5,28,3343
"2020/2021",3,"80","10-20cm","millet",5.8,3.1,13,6.4,88,1.5,24,4929
"2020/2021",4,"80","0-5cm","millet",6.2,2.7,16,3.9,70,1.4,25,3496
"2020/2021",1,"biochar","5-10cm","millet",6.3,2.8,21,5.5,67,1.6,20,2959
"2020/2021",2,"biochar","10-20cm","millet",5.7,2.4,15,4,60,1.3,21,4477
"2020/2021",3,"biochar","0-5cm","millet",6,2.6,18,4.9,85,1.2,26,3244
"2020/2021",4,"biochar","5-10cm","millet",6.3,3.1,17,5.9,88,1.9,25,3888
"2020/2021",1,"biochar","10-20cm","millet",6.6,2.9,11,5.9,83,1.6,24,3327
"2020/2021",2,"biochar","0-5cm","millet",5.5,2.8,14,4.2,69,1.4,40,3103
"2020/2021",3,"biochar","5-10cm","millet",6.1,2.4,19,4.6,96,1.4,39,3779
"2020/2021",4,"biochar","10-20cm","millet",6.7,2.5,18,4,76,1.7,43,4324
"2020/2021",1,"biochar","0-5cm","millet",6,2.5,16,5.3,98,1.5,34,4158
"2020/2021",2,"biochar","5-10cm","millet",6.4,2.8,16,3.4,86,1.5,29,3679
"2020/2021",3,"biochar","10-20cm","millet",6.5,2.4,14,2.4,92,1.4,25,3992
"2020/2021",4,"biochar","0-5cm","millet",6.4,2.9,11,6.5,83,1.4,24,3951
"2020/2021",1,"biochar","5-10cm","millet",6.6,2.4,19,7.3,79,1.6,28,3988
"2020/2021",2,"biochar","10-20cm","millet",6.2,3.2,11,4.5,70,1.5,36,3777
"2020/2021",3,"biochar","0-5cm","millet",6.1,2.8,12,5.8,74,1.8,33,4180
"2020/2021",4,"biochar","5-10cm","millet",5,2.5,17,5,80,1.3,34,3459
"2020/2021",1,"biochar","10-20cm","millet",6.3,2.8,11,6.5,83,1.5,29,4189
"2020/2021",2,"biochar","0-5cm","millet",6.5,2.6,13,5.6,80,1.5,22,3830
"2020/2021",3,"biochar","5-10cm","millet",6.6,2.8,11,5.2,78,1.3,32,3832
"2020/2021",4,"biochar","10-20cm","millet",6,2.8,17,3.2,82,1.7,29,4353
"2020/2021",1,"biochar","0-5cm","millet",7.2,2.4,16,6.1,75,1.5,28,3786
"2020/2021",2,"biochar","5-10cm","millet",6.4,2.5,16,4.6,75,1.2,41,3507
"2020/2021",3,"biochar","10-20cm","millet",6.4,2.8,16,3.6,65,1.4,34,3398
"2020/2021",4,"biochar","0-5cm","millet",6.9,3.2,17,4.8,88,1.3,29,4335
"2020/2021",1,"biochar","5-10cm","millet",5.9,3,17,4.9,80,1.7,20,2833
"2020/2021",2,"biochar","10-20cm","millet",6.1,2.5,9,6.1,79,2,29,3792
"2020/2021",3,"biochar","0-5cm","millet",7.5,2.9,15,3.8,73,1.4,35,4091
"2020/2021",4,"biochar","5-10cm","millet",6.3,2.7,15,4.4,78,1.5,32,3313
"2020/2021",1,"biochar","10-20cm","millet",7.1,2.8,17,6.5,69,1.6,31,4003
"2020/2021",2,"biochar","0-5cm","millet",5.6,2.8,11,6.4,70,2,35,4335
"2020/2021",3,"biochar","5-10cm","millet",6.2,3.5,14,6.2,61,1,29,3088
"2020/2021",4,"biochar","10-20cm","millet",6.5,2.3,12,6.7,90,1.4,28,3556
"2020/2021",1,"biochar","0-5cm","millet",6.5,2.7,18,5.2,81,1.3,29,4881
"2020/2021",2,"biochar","5-10cm","millet",5.8,2.2,19,4.4,69,1.5,34,3673
"2020/2021",3,"biochar","10-20cm","millet",6.3,2.9,17,5.6,92,1.4,29,3517
"2020/2021",4,"biochar","0-5cm","millet",5.8,3,11,6.1,86,1.4,34,3571
"2020/2021",1,"biochar","5-10cm","millet",6.7,3.1,16,7.4,87,1.9,24,3783
"2020/2021",2,"biochar","10-20cm","millet",6.8,2.1,18,3,78,1.6,24,4093
"2020/2021",3,"biochar","0-5cm","millet",5.2,2.8,16,5.3,76,2,31,3648
"2020/2021",4,"biochar","5-10cm","millet",6.9,3.2,13,5.7,79,1.7,34,4101
"2020/2021",1,"biochar","10-20cm","millet",5.7,2.6,12,4.9,84,1.2,28,4351
"2020/2021",2,"biochar","0-5cm","millet",6.5,2.6,13,3.4,88,1.3,27,4168
"2020/2021",3,"biochar","5-10cm","millet",6.6,2.7,17,5.7,96,1.6,16,4375
"2020/2021",4,"biochar","10-20cm","millet",6.2,2.8,14,4.2,75,1.4,32,3600
"2020/2021",1,"biochar","0-5cm","millet",6,2.9,16,5.5,70,1.6,25,3939
"2020/2021",2,"biochar","5-10cm","millet",6.4,3.1,19,5.9,81,1.6,32,4332
"2020/2021",3,"biochar","10-20cm","millet",6.5,2.7,17,6.3,110,1.6,37,4027
"2020/2021",4,"biochar","0-5cm","millet",6.7,2.8,19,3.4,76,1.5,28,4106
"2020/2021",1,"biochar","5-10cm","millet",5.3,3.4,10,6.1,91,1.4,33,4025
"2020/2021",2,"biochar","10-20cm","millet",5.5,2.8,14,4.2,78,1.2,29,4091
"2020/2021",3,"biochar","0-5cm","millet",7,2.8,15,3.7,75,1.6,32,3988
"2020/2021",4,"biochar","5-10cm","millet",6.8,2.3,17,6.3,73,1.7,24,3450
"2020/2021",1,"biochar","10-20cm","millet",6.5,2.7,11,6.1,78,1.5,32,4087
"2020/2021",2,"biochar","0-5cm","millet",6.7,2.6,17,4.8,96,1.7,37,3772
"2020/2021",3,"biochar","5-10cm","millet",6.8,2.7,16,5.8,83,1.9,39,4718
"2020/2021",4,"biochar","10-20cm","millet",5,2.5,16,4.1,85,1.9,24,3735
"2020/2021",1,"biochar","0-5cm","millet",6.9,2.5,17,4.8,88,1.4,33,4076
"2020/2021",2,"biochar","5-10cm","millet",6.1,2.5,15,4.9,101,1.6,27,3013
"2020/2021",3,"biochar","10-20cm","millet",6.4,2.6,18,4.7,88,1.4,33,3671
"2020/2021",4,"biochar","0-5cm","millet",6.2,3.1,17,5.7,66,1.6,29,3586
"2020/2021",1,"biochar","5-10cm","millet",6.7,3,15,6.5,70,1.5,29,4616
"2020/2021",2,"biochar","10-20cm","millet",6.1,2.6,18,4.5,64,1.6,33,3924
"2020/2021",3,"biochar","0-5cm","millet",6.6,2.2,16,5,52,1.3,34,4072
"2020/2021",4,"biochar","5-10cm","millet",6.1,2.4,17,6.6,93,1.7,31,4150
"2020/2021",1,"biochar","10-20cm","millet",5.8,2.6,13,4.7,75,1.5,32,3734
"2020/2021",2,"biochar","0-5cm","millet",6.9,2.7,20,2.4,84,1.4,32,4150
"2020/2021",3,"biochar","5-10cm","millet",6.7,2.5,15,5.5,92,1.5,31,4753
"2020/2021",4,"biochar","10-20cm","millet",7.2,3.3,18,4.1,75,1.5,30,4308
"2020/2021",1,"biochar","0-5cm","millet",6.3,2.6,15,4,79,1.8,35,4357
"2020/2021",2,"biochar","5-10cm","millet",6.9,2.3,14,6.4,84,1.3,34,3583
"2020/2021",3,"biochar","10-20cm","millet",7.3,2.7,17,7.4,82,2,34,4090
"2020/2021",4,"biochar","0-5cm","millet",6.2,2.4,10,4,72,1.3,36,4147
"2020/2021",1,"biochar","5-10cm","millet",5.6,2.7,16,6,87,1.5,33,3672
"2020/2021",2,"biochar","10-20cm","millet",6.2,2.8,16,4.9,85,1.1,29,4059
"2020/2021",3,"biochar","0-5cm","millet",6.2,2.8,7,5.1,77,1.4,25,4987
"2020/2021",4,"biochar","5-10cm","millet",6.4,2.2,16,6.2,68,1.6,28,3513
"2020/2021",1,"biochar","10-20cm","millet",7.2,2.8,8,5.2,86,1.6,26,4276
"2020/2021",2,"biochar","0-5cm","millet",6.1,2.8,17,4.1,94,1.6,29,3463
"2020/2021",3,"biochar","5-10cm","millet",6.5,2.3,14,4.5,94,1.4,27,4176
"2020/2021",4,"biochar","10-20cm","millet",6.2,3,13,5.7,89,1.1,29,3479
